Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.03     0.00        2     0.00     0.00  std::move_iterator<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> > > > std::make_move_iterator<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> > > >(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> > >)
  0.00      0.03     0.00        2     0.00     0.00  unsigned int* std::__uninitialized_copy_a<std::move_iterator<unsigned int*>, unsigned int*, std::pmr::polymorphic_allocator<unsigned int> >(std::move_iterator<unsigned int*>, std::move_iterator<unsigned int*>, unsigned int*, std::pmr::polymorphic_allocator<unsigned int>&)
  0.00      0.03     0.00        2     0.00     0.00  unsigned int* std::__uninitialized_move_if_noexcept_a<unsigned int*, unsigned int*, std::pmr::polymorphic_allocator<unsigned int> >(unsigned int*, unsigned int*, unsigned int*, std::pmr::polymorphic_allocator<unsigned int>&)
  0.00      0.03     0.00        2     0.00     0.00  std::remove_reference<std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> >&>::type&& std::move<std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> >&>(std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> >&)
  0.00      0.03     0.00        2     0.00     0.00  bool std::operator==<unsigned int*>(std::move_iterator<unsigned int*> const&, std::move_iterator<unsigned int*> const&)
  0.00      0.03     0.00        2     0.00     0.00  bool std::operator!=<unsigned int*>(std::move_iterator<unsigned int*> const&, std::move_iterator<unsigned int*> const&)
  0.00      0.03     0.00        1     0.00     0.00  __static_initialization_and_destruction_0()
  0.00      0.03     0.00        1     0.00     0.00  run()
  0.00      0.03     0.00        1     0.00    30.01  init(std::pmr::monotonic_buffer_resource&, hyper::Stack_arena&)
  0.00      0.03     0.00        1     0.00     0.00  quit()
  0.00      0.03     0.00        1     0.00     0.00  hyper::Framebuffer::Framebuffer()
  0.00      0.03     0.00        1     0.00     0.00  hyper::Stack_arena::Stack_arena(hyper::Stack_arena_arguments const&)
  0.00      0.03     0.00        1     0.00     0.00  hyper::Stack_arena::~Stack_arena()
  0.00      0.03     0.00        1     0.00     0.00  stellar::hot_reload_init(stellar::Hot_reload_library_data&, char const*)
  0.00      0.03     0.00        1     0.00     0.00  stellar::restart_watcher()
  0.00      0.03     0.00        1     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> > >::difference_type __gnu_cxx::operator-<unsigned int*, std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> > >(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> > > const&, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> > > const&)
  0.00      0.03     0.00        1     0.00     0.00  std::pmr::memory_resource::is_equal(std::pmr::memory_resource const&) const
  0.00      0.03     0.00        1     0.00     0.00  std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> >::_M_check_len(unsigned long, char const*) const
  0.00      0.03     0.00        1     0.00     0.00  std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> >::capacity() const
  0.00      0.03     0.00        1     0.00     0.00  std::char_traits<char>::length(char const*)
  0.00      0.03     0.00        1     0.00     0.00  std::_Vector_base<unsigned int, std::pmr::polymorphic_allocator<unsigned int> >::_Vector_impl::_Vector_impl()
  0.00      0.03     0.00        1     0.00     0.00  std::_Vector_base<unsigned int, std::pmr::polymorphic_allocator<unsigned int> >::_Vector_impl::_Vector_impl(std::pmr::polymorphic_allocator<unsigned int> const&)
  0.00      0.03     0.00        1     0.00     0.00  std::_Vector_base<unsigned int, std::pmr::polymorphic_allocator<unsigned int> >::_Vector_base(std::pmr::polymorphic_allocator<unsigned int> const&)
  0.00      0.03     0.00        1     0.00     0.00  std::_Vector_base<unsigned int, std::pmr::polymorphic_allocator<unsigned int> >::_Vector_base()
  0.00      0.03     0.00        1     0.00     0.00  std::random_device::random_device()
  0.00      0.03     0.00        1     0.00     0.00  std::random_device::~random_device()
  0.00      0.03     0.00        1     0.00     0.00  std::random_device::operator()()
  0.00      0.03     0.00        1     0.00     0.00  std::__new_allocator<char>::~__new_allocator()
  0.00      0.03     0.00        1     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::seed(unsigned long)
  0.00      0.03     0.00        1     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::mersenne_twister_engine(unsigned long)
  0.00      0.03     0.00        1     0.00     0.00  std::pmr::polymorphic_allocator<unsigned int>::polymorphic_allocator(std::pmr::memory_resource*)
  0.00      0.03     0.00        1     0.00     0.00  std::pmr::polymorphic_allocator<unsigned int>::polymorphic_allocator()
  0.00      0.03     0.00        1     0.00     0.00  std::pmr::operator==(std::pmr::memory_resource const&, std::pmr::memory_resource const&)
  0.00      0.03     0.00        1     0.00     0.00  std::pmr::operator==(std::pmr::polymorphic_allocator<unsigned int> const&, std::pmr::polymorphic_allocator<unsigned int> const&)
  0.00      0.03     0.00        1     0.00    20.01  void std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> >::_M_assign_aux<std::move_iterator<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> > > > >(std::move_iterator<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> > > >, std::move_iterator<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> > > >, std::forward_iterator_tag)
  0.00      0.03     0.00        1     0.00    10.00  std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> >::_M_fill_insert(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> > >, unsigned long, unsigned int const&)
  0.00      0.03     0.00        1     0.00    20.01  std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> >::_M_move_assign(std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> >&&, std::integral_constant<bool, false>)
  0.00      0.03     0.00        1     0.00     0.00  std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> >::_M_erase_at_end(unsigned int*)
  0.00      0.03     0.00        1     0.00     0.00  std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> >::_S_check_init_len(unsigned long, std::pmr::polymorphic_allocator<unsigned int> const&)
  0.00      0.03     0.00        1     0.00    20.01  unsigned int* std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> >::_M_allocate_and_copy<std::move_iterator<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> > > > >(unsigned long, std::move_iterator<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> > > >, std::move_iterator<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> > > >)
  0.00      0.03     0.00        1     0.00     0.00  std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> >::begin()
  0.00      0.03     0.00        1     0.00     0.00  std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> >::clear()
  0.00      0.03     0.00        1     0.00    10.00  std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> >::resize(unsigned long, unsigned int const&)
  0.00      0.03     0.00        1     0.00     0.00  std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> >::vector(std::pmr::polymorphic_allocator<unsigned int> const&)
  0.00      0.03     0.00        1     0.00     0.00  std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> >::vector()
  0.00      0.03     0.00        1     0.00    20.01  std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> >::operator=(std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> >&&)
  0.00      0.03     0.00        1     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)
  0.00      0.03     0.00        1     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&)
  0.00      0.03     0.00        1     0.00    20.01  unsigned int* std::__uninitialized_copy_a<std::move_iterator<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> > > >, unsigned int*, std::pmr::polymorphic_allocator<unsigned int> >(std::move_iterator<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> > > >, std::move_iterator<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> > > >, unsigned int*, std::pmr::polymorphic_allocator<unsigned int>&)
  0.00      0.03     0.00        1     0.00    10.00  unsigned int* std::__uninitialized_fill_n_a<unsigned int*, unsigned long, unsigned int, std::pmr::polymorphic_allocator<unsigned int> >(unsigned int*, unsigned long, unsigned int const&, std::pmr::polymorphic_allocator<unsigned int>&)
  0.00      0.03     0.00        1     0.00     0.00  decltype ((({parm#1}.base)())-(({parm#2}.base)())) std::operator-<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> > >, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> > > >(std::move_iterator<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> > > > const&, std::move_iterator<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> > > > const&)
  0.00      0.03     0.00        1     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)::_Guard::_Guard(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
